Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,54.46,54.49,53.87,54.08,13817100,54.08
2015-05-28,54.82,54.82,54.22,54.55,13380900,54.55
2015-05-27,54.34,54.98,54.20,54.87,13698100,54.87
2015-05-26,54.75,54.84,54.01,54.24,16549800,54.24
2015-05-22,54.78,55.33,54.68,54.97,12644000,54.97
2015-05-21,54.69,55.10,54.61,54.84,11799200,54.84
2015-05-20,55.27,55.30,54.75,54.89,13954600,54.89
2015-05-19,54.79,55.37,54.75,55.33,18203700,55.33
2015-05-18,54.19,54.90,54.17,54.67,11713000,54.67
2015-05-15,54.59,54.61,54.03,54.24,10377200,54.24
2015-05-14,54.43,54.73,54.33,54.60,14249600,54.60
2015-05-13,53.72,54.36,53.48,54.20,15618600,54.20
2015-05-12,53.67,53.98,53.23,53.74,13334900,53.74
2015-05-11,53.92,54.16,53.80,53.97,13896800,53.97
2015-05-08,53.55,54.11,53.30,54.02,17333500,54.02
2015-05-07,52.59,53.44,52.41,53.31,14954200,53.31
2015-05-06,53.56,53.90,52.35,52.82,19414800,52.77
2015-05-05,53.99,54.30,53.25,53.35,20669100,53.2995
2015-05-04,53.85,54.26,53.74,54.17,15670100,54.11872
2015-05-01,53.64,53.84,53.31,53.76,13147600,53.70911
2015-04-30,53.75,53.97,52.92,53.32,19420600,53.26953
2015-04-29,52.65,53.99,52.61,53.76,22542400,53.70911
2015-04-28,52.67,53.10,52.25,53.02,14134500,52.96981
2015-04-27,52.88,53.39,52.78,52.80,15613000,52.75002
2015-04-24,53.16,53.22,52.85,52.90,10150500,52.84993
2015-04-23,53.01,53.40,52.82,53.22,13049600,53.16962
2015-04-22,52.52,53.38,52.35,53.10,14873400,53.04974
2015-04-21,53.35,53.46,52.25,52.48,19554400,52.43032
2015-04-20,53.30,53.57,53.09,53.20,14730000,53.14964
2015-04-17,53.51,54.10,52.95,53.07,23287000,53.01976
2015-04-16,53.98,54.46,53.80,54.02,38345600,53.96886
2015-04-15,52.93,53.38,52.75,53.21,19041100,53.15963
2015-04-14,52.93,53.00,52.38,52.73,13259700,52.68009
2015-04-13,52.48,52.95,52.41,52.66,11984400,52.61015
2015-04-10,52.08,52.68,51.98,52.43,13032000,52.38037
2015-04-09,51.73,52.21,51.69,52.13,13591400,52.08065
2015-04-08,51.67,52.22,51.63,51.89,11773000,51.84088
2015-04-07,51.83,51.93,51.39,51.52,11562700,51.47123
2015-04-06,51.16,51.96,50.98,51.62,13250800,51.57114
2015-04-02,51.68,52.22,51.59,51.86,13966900,51.81091
2015-04-01,51.37,51.90,51.01,51.62,21577700,51.57114
2015-03-31,51.26,51.77,51.16,51.52,13928900,51.47123
2015-03-30,51.33,52.00,51.31,51.64,13289200,51.59112
2015-03-27,51.49,51.49,50.72,51.00,16052400,50.95173
2015-03-26,51.19,51.46,50.47,51.19,21839600,51.14154
2015-03-25,51.98,52.11,51.35,51.38,15418200,51.33137
2015-03-24,52.35,52.44,51.94,51.94,12887700,51.89083
2015-03-23,53.03,53.05,52.48,52.48,13148900,52.43032
2015-03-20,52.44,53.17,52.41,52.98,22466200,52.92985
2015-03-19,53.57,53.62,52.20,52.38,21150000,52.33042
2015-03-18,53.42,53.94,53.17,53.72,18383700,53.66915
2015-03-17,53.21,53.99,53.16,53.84,13902900,53.78904
2015-03-16,53.74,54.04,53.40,53.69,17031600,53.63918
2015-03-13,53.90,54.24,53.26,53.54,20780600,53.48932
2015-03-12,54.00,54.72,53.45,54.08,50191200,54.02881
2015-03-11,51.62,52.76,51.52,52.33,32443600,52.28047
2015-03-10,52.07,52.30,51.23,51.23,29061300,51.18151
2015-03-09,52.88,53.17,52.77,52.95,17542600,52.89988
2015-03-06,53.75,54.01,52.93,53.06,40296600,53.00978
2015-03-05,53.71,53.73,53.15,53.56,13853800,53.5093
2015-03-04,53.48,53.86,53.24,53.67,14698100,53.61919
2015-03-03,53.94,54.00,53.43,53.73,24281900,53.67914
2015-03-02,52.42,53.52,52.05,53.49,19384200,53.43937
2015-02-27,52.32,52.87,52.17,52.42,18588400,52.37038
2015-02-26,52.03,52.49,51.91,52.41,16358100,52.36039
2015-02-25,51.65,52.11,51.55,52.09,10666000,52.04069
2015-02-24,51.42,52.30,51.39,51.90,20250900,51.85088
2015-02-23,51.53,51.54,50.75,51.32,15282600,51.27142
2015-02-20,51.05,51.91,50.36,51.78,19429400,51.73098
2015-02-19,51.28,51.54,51.04,51.12,11272000,51.07161
2015-02-18,51.30,51.67,51.09,51.42,17666800,51.37133
2015-02-17,50.95,51.80,50.90,51.69,14569400,51.64107
2015-02-13,51.01,51.49,50.81,51.20,17448500,51.15154
2015-02-12,49.94,51.09,49.77,50.89,28926800,50.84183
2015-02-11,49.15,49.88,49.11,49.68,13079500,49.63297
2015-02-10,50.00,50.06,49.14,49.39,17223700,49.34325
2015-02-09,48.86,49.51,48.44,49.21,16364900,49.16342
2015-02-06,49.40,49.95,49.06,49.14,25752200,49.09348
2015-02-05,48.74,49.00,48.22,48.54,15481900,48.49405
2015-02-04,48.57,49.00,48.30,48.40,19581800,48.35419
2015-02-03,48.46,49.22,48.35,48.88,25220200,48.83373
2015-02-02,47.20,47.77,46.90,47.72,19178200,47.67483
2015-01-30,47.09,47.73,46.90,46.95,23729800,46.90556
2015-01-29,47.07,47.78,46.83,47.62,19865700,47.57492
2015-01-28,48.37,48.51,47.11,47.11,26065300,47.05542
2015-01-27,48.04,48.65,47.77,48.31,16401200,48.25403
2015-01-26,48.48,49.03,48.41,48.89,13817500,48.83335
2015-01-23,49.49,49.76,48.61,48.62,18984700,48.56366
2015-01-22,48.26,49.75,47.93,49.57,29652600,49.51257
2015-01-21,47.37,48.23,47.15,47.74,22873300,47.68469
2015-01-20,47.98,48.00,47.15,47.26,25561000,47.20524
2015-01-16,46.70,47.69,46.60,47.61,32307000,47.55484
2015-01-15,48.06,48.24,46.91,47.23,48799400,47.17528
2015-01-14,48.96,49.10,47.77,49.05,44630800,48.99317
2015-01-13,50.66,51.23,49.61,50.02,23201800,49.96204
2015-01-12,50.82,50.91,50.03,50.38,22725800,50.32163
2015-01-09,52.17,52.24,50.77,50.78,20180200,50.72116
2015-01-08,51.77,52.08,51.50,51.94,17467200,51.87982
2015-01-07,51.51,51.55,50.62,51.17,27890800,51.11071
2015-01-06,52.68,52.77,50.53,50.70,31989300,50.64126
2015-01-05,53.91,53.96,52.33,52.55,20945400,52.48911
2015-01-02,54.36,54.69,53.79,54.26,11137800,54.19713
2014-12-31,54.95,55.07,54.10,54.11,10193000,54.04731
2014-12-30,54.51,54.95,54.25,54.84,8188600,54.77646
2014-12-29,54.14,55.08,54.03,54.73,9887500,54.66659
2014-12-26,54.63,54.77,54.41,54.43,6415100,54.36694
2014-12-24,54.68,54.90,54.32,54.54,6237400,54.47681
2014-12-23,54.02,54.86,53.93,54.42,12277000,54.35695
2014-12-22,54.04,54.27,53.52,53.96,11742300,53.89748
2014-12-19,53.99,54.48,53.75,54.01,22986200,53.94742
2014-12-18,53.40,54.10,53.13,54.10,23478100,54.03732
2014-12-17,51.21,52.48,51.11,52.45,26918800,52.38923
2014-12-16,52.16,52.84,51.12,51.17,34745200,51.11071
2014-12-15,54.08,54.08,52.52,52.79,20956200,52.72884
2014-12-12,53.98,54.35,53.23,53.40,23137300,53.33813
2014-12-11,54.65,55.23,54.42,54.51,20641300,54.44684
2014-12-10,55.51,55.92,54.35,54.47,22464100,54.40689
2014-12-09,55.44,56.14,54.69,55.85,26262900,55.78529
2014-12-08,55.98,56.95,55.75,56.37,21799300,56.30468
2014-12-05,55.52,56.49,55.46,56.08,21945900,56.01503
2014-12-04,54.97,55.43,54.69,55.18,13407400,55.11607
2014-12-03,54.47,55.28,54.31,55.21,21221500,55.14603
2014-12-02,53.51,54.47,53.51,54.36,15957100,54.29702
2014-12-01,53.80,53.91,53.05,53.35,13825700,53.28819
2014-11-28,54.00,54.18,53.83,53.97,5876800,53.90747
2014-11-26,54.45,54.48,54.00,54.13,8704200,54.06728
2014-11-25,54.40,54.52,54.06,54.33,13212100,54.26705
2014-11-24,53.94,54.49,53.76,54.40,13726500,54.33697
2014-11-21,54.07,54.35,53.61,53.66,15139600,53.59783
2014-11-20,53.25,53.57,53.11,53.52,9721200,53.45799
2014-11-19,53.83,53.83,53.38,53.66,8664900,53.59783
2014-11-18,53.56,54.17,53.51,53.81,12907700,53.74765
2014-11-17,53.06,53.64,53.05,53.57,10189100,53.50793
2014-11-14,53.31,53.60,53.26,53.38,11339200,53.31815
2014-11-13,53.48,53.58,52.98,53.44,12667000,53.37808
2014-11-12,53.34,53.62,53.07,53.42,10271400,53.3581
2014-11-11,53.90,54.09,53.76,53.81,9524300,53.74765
2014-11-10,53.57,53.89,53.54,53.89,11235500,53.82756
2014-11-07,53.86,54.01,53.54,53.75,13479200,53.68772
2014-11-06,53.97,54.30,53.81,53.99,13621300,53.92744
2014-11-05,53.59,54.11,53.26,54.02,18546200,53.95741
2014-11-04,53.28,53.32,52.63,53.19,13618000,53.12837
2014-11-03,53.42,53.75,53.02,53.47,12123000,53.40805
2014-10-31,53.40,53.90,52.99,53.53,27639400,53.46798
2014-10-30,52.62,53.40,52.34,53.15,21027700,53.08842
2014-10-29,52.48,52.75,52.09,52.65,16322200,52.57901
2014-10-28,51.64,52.52,51.64,52.44,16529200,52.36929
2014-10-27,51.48,51.65,51.17,51.59,12134600,51.52044
2014-10-24,51.44,51.87,51.37,51.80,13284400,51.73015
2014-10-23,51.25,51.90,51.09,51.41,15167500,51.34068
2014-10-22,51.27,51.80,50.68,50.70,16664500,50.63164
2014-10-21,51.04,51.49,50.75,51.27,17798300,51.20087
2014-10-20,50.03,50.62,49.96,50.53,13796700,50.46186
2014-10-17,50.49,50.72,49.74,50.07,21969900,50.00249
2014-10-16,48.98,50.21,48.74,49.75,28295100,49.68292
2014-10-15,50.90,50.93,48.11,49.68,55398300,49.61301
2014-10-14,51.15,51.63,50.44,51.47,41368500,51.4006
2014-10-13,50.14,50.87,49.86,49.90,26025900,49.83272
2014-10-10,50.93,51.29,50.11,50.11,27764500,50.04243
2014-10-09,52.48,52.48,51.01,51.14,22423700,51.07104
2014-10-08,51.21,52.60,51.18,52.54,23356300,52.46916
2014-10-07,51.99,52.07,51.27,51.27,16837100,51.20087
2014-10-06,52.57,52.67,52.13,52.28,12675100,52.20951
2014-10-03,51.71,52.43,51.64,52.32,17716300,52.24945
2014-10-02,50.94,51.52,50.66,51.25,18393400,51.1809
2014-10-01,51.68,51.85,50.89,51.10,20757500,51.0311
2014-09-30,52.08,52.49,51.63,51.82,21787700,51.75013
2014-09-29,51.75,52.27,51.32,52.05,13006900,51.97982
2014-09-26,51.99,52.59,51.96,52.49,10474200,52.41922
2014-09-25,53.23,53.27,51.96,51.96,19262500,51.88994
2014-09-24,52.90,53.32,52.49,53.26,15606000,53.18818
2014-09-23,52.75,53.25,52.75,52.84,14586000,52.76875
2014-09-22,53.44,53.74,52.96,53.04,16654900,52.96848
2014-09-19,53.98,54.13,53.26,53.48,22153100,53.40789
2014-09-18,52.70,53.90,52.48,53.66,27307100,53.58765
2014-09-17,52.32,53.05,52.22,52.39,20379900,52.31936
2014-09-16,52.12,52.41,51.91,52.36,13221300,52.2894
2014-09-15,52.37,52.52,51.92,52.31,12805700,52.23947
2014-09-12,52.20,52.86,52.09,52.38,18329200,52.30937
2014-09-11,51.61,52.26,51.52,52.23,14084300,52.15957
2014-09-10,51.24,51.99,51.18,51.83,13013600,51.76012
2014-09-09,51.64,51.78,51.12,51.26,14584100,51.19088
2014-09-08,52.16,52.77,51.91,52.05,13557800,51.97982
2014-09-05,52.31,52.49,51.72,52.30,17484800,52.22948
2014-09-04,52.25,52.88,52.22,52.47,15694900,52.39925
2014-09-03,52.24,52.53,52.04,52.23,15116800,52.15957
2014-09-02,51.78,51.98,51.44,51.96,11452100,51.88994
2014-08-29,51.53,51.83,51.46,51.65,8981300,51.58036
2014-08-28,51.52,51.62,51.28,51.39,10255900,51.32071
2014-08-27,52.12,52.27,51.68,51.86,13398400,51.79007
2014-08-26,51.52,52.39,51.46,52.13,18384700,52.05971
2014-08-25,51.28,51.99,51.28,51.63,17502900,51.56038
2014-08-22,50.94,51.67,50.73,50.93,20002900,50.86133
2014-08-21,49.97,51.22,49.80,51.07,24162400,51.00114
2014-08-20,49.63,49.92,49.46,49.80,9039500,49.73285
2014-08-19,49.53,50.25,49.52,49.70,13073300,49.63299
2014-08-18,49.05,49.58,48.97,49.51,13199700,49.44324
2014-08-15,49.29,49.48,48.32,48.72,16215300,48.65431
2014-08-14,48.83,49.15,48.74,49.13,9693100,49.06376
2014-08-13,48.62,48.89,48.53,48.75,8602600,48.68427
2014-08-12,48.21,48.68,48.05,48.44,9238600,48.37468
2014-08-11,48.55,48.60,48.23,48.39,9130300,48.32475
2014-08-08,48.06,48.50,47.78,48.45,12001500,48.38467
2014-08-07,48.50,48.63,47.89,48.06,12377000,47.9952
2014-08-06,47.75,48.53,47.75,48.14,13038300,48.07509
2014-08-05,48.26,48.49,47.65,47.89,15912700,47.82542
2014-08-04,48.45,48.50,48.06,48.34,14277000,48.27482
2014-08-01,48.59,49.03,47.90,48.10,21822700,48.03514
2014-07-31,49.56,49.92,48.91,48.91,23550900,48.84405
2014-07-30,49.67,50.27,49.63,50.00,15327600,49.9226
2014-07-29,49.73,49.87,49.42,49.42,13165800,49.34349
2014-07-28,49.95,50.08,49.54,49.70,12070400,49.62306
2014-07-25,49.99,50.20,49.94,50.03,10082900,49.95255
2014-07-24,50.22,50.47,49.96,50.09,13282600,50.01245
2014-07-23,49.61,50.59,49.36,50.18,20099200,50.10232
2014-07-22,49.60,49.83,49.38,49.60,13125500,49.52321
2014-07-21,49.16,49.47,49.07,49.35,10920200,49.2736
2014-07-18,49.49,49.81,49.31,49.56,15453900,49.48328
2014-07-17,49.50,49.98,49.16,49.18,23847600,49.10386
2014-07-16,49.49,49.87,49.40,49.82,23590400,49.74287
2014-07-15,48.82,49.46,48.82,49.29,34419100,49.2137
2014-07-14,48.67,48.83,48.35,48.42,36149700,48.34504
2014-07-11,46.82,47.01,46.57,47.00,15205700,46.92724
2014-07-10,46.71,47.05,46.55,46.90,18671600,46.8274
2014-07-09,47.47,47.67,47.20,47.38,14195300,47.30665
2014-07-08,47.70,47.73,47.25,47.42,13808800,47.34659
2014-07-07,48.05,48.11,47.59,47.98,12052300,47.90572
2014-07-03,48.38,48.71,48.07,48.24,13643100,48.16532
2014-07-02,47.54,48.25,47.50,48.01,16774600,47.93567
2014-07-01,47.42,47.90,47.22,47.46,16699800,47.38652
2014-06-30,47.16,47.30,47.01,47.10,12290400,47.02708
2014-06-27,47.22,47.34,46.92,47.14,19162000,47.06702
2014-06-26,47.71,47.74,47.03,47.23,18875700,47.15688
2014-06-25,47.67,48.07,47.56,47.82,12704600,47.74597
2014-06-24,47.85,48.48,47.71,47.81,16916400,47.73598
2014-06-23,47.13,48.18,47.10,48.06,18431400,47.9856
2014-06-20,47.77,47.82,47.07,47.34,18832900,47.26671
2014-06-19,47.95,47.97,47.34,47.56,15747900,47.48637
2014-06-18,47.77,48.00,47.41,47.93,14468500,47.8558
2014-06-17,47.48,48.05,47.35,47.79,13946300,47.71601
2014-06-16,47.47,47.78,47.04,47.64,12790900,47.56625
2014-06-13,48.14,48.67,47.12,47.59,34838700,47.51633
2014-06-12,48.62,48.71,48.10,48.27,15670200,48.19527
2014-06-11,49.03,49.27,48.64,48.81,13944200,48.73444
2014-06-10,49.49,49.50,48.99,49.33,12769300,49.25363
2014-06-09,48.99,49.59,48.95,49.58,14235700,49.50325
2014-06-06,48.70,49.20,48.62,48.93,19149500,48.85425
2014-06-05,48.01,48.80,47.89,48.63,17048300,48.55472
2014-06-04,48.04,48.20,47.82,47.88,13075300,47.80588
2014-06-03,47.51,48.26,47.46,48.19,16105800,48.11539
